Date,Open,High,Low,Close,Volume,Adj Close
2005-09-15,38.02,38.099998,37.0,37.009998,1529800,30.14009
2005-09-16,37.0,37.0,36.599998,36.599998,62400,29.806195
2005-09-19,36.599998,36.700001,36.450001,36.700001,1162300,29.887635
2005-09-20,36.599998,37.0,36.599998,36.700001,654900,29.887635
2005-09-21,36.599998,36.599998,36.0,36.400002,424300,29.643322
2005-09-22,36.400002,37.200001,36.400002,37.200001,864800,30.294823
2005-09-23,37.200001,38.099998,37.200001,37.68,1249900,30.685724
2005-09-26,37.75,38.150002,37.75,37.75,821400,30.74273
2005-09-27,37.75,37.900002,37.139999,37.25,1514000,30.335541
2005-09-28,37.240002,37.400002,36.799999,37.0,875700,30.131947
2005-09-29,36.91,36.91,36.25,36.599998,2659200,29.806195
2005-09-30,36.599998,36.599998,35.599998,35.799999,4014800,29.154694
2005-10-03,35.299999,35.900002,34.169998,34.700001,10007600,28.258881
2005-10-04,34.0,34.299999,33.25,33.900002,8040300,27.60738
2005-10-05,34.0,34.099998,33.32,33.650002,6304400,27.403786
2005-10-06,33.400002,33.650002,33.209999,33.369999,7552200,27.175758
2005-10-07,33.279999,33.599998,33.130001,33.599998,7055200,27.363064
2005-10-10,33.599998,33.599998,33.0,33.029999,3400800,26.89887
2005-10-11,33.040001,33.389999,32.98,33.0,3675400,26.874439
2005-10-12,32.900002,33.299999,32.720001,32.77,4134500,26.687133
2005-10-13,32.529999,32.700001,32.48,32.549999,3184100,26.507969
2005-10-14,32.52,32.75,32.380001,32.389999,2487500,26.377669
2005-10-17,32.34,32.77,32.0,32.48,1910400,26.450963
2005-10-18,32.299999,32.549999,32.150002,32.43,1737900,26.410245
2005-10-19,32.279999,33.16,32.209999,33.16,1784400,27.00474
2005-10-20,33.16,34.060001,33.099998,33.580002,2789600,27.346779
2005-10-21,33.779999,34.5,33.630001,34.0,2881800,27.688816
2005-10-24,35.25,36.48,34.93,36.290001,4013400,29.55374
2005-10-25,35.34,37.470001,35.279999,37.18,2900400,30.278535
2005-10-26,36.849998,37.720001,36.700001,37.0,2208000,30.131947
2005-10-27,36.950001,37.0,35.799999,36.279999,2033000,29.545595
2005-10-28,36.5,37.200001,36.209999,37.099998,1430200,30.213384
2005-10-31,37.209999,37.599998,36.959999,37.220001,1211600,30.311111
2005-11-01,36.900002,36.959999,36.459999,36.560001,1574900,29.773622
2005-11-02,36.220001,36.900002,36.18,36.799999,1201600,30.059514
2005-11-03,36.720001,37.619999,36.720001,37.419998,1887900,30.56595
2005-11-04,37.330002,37.419998,37.02,37.169998,1731900,30.361742
2005-11-07,37.099998,37.169998,36.82,37.02,1658700,30.239218
2005-11-08,36.650002,37.200001,36.650002,36.959999,2119200,30.190207
2005-11-09,36.959999,38.18,36.900002,37.880001,2152200,30.941697
2005-11-10,37.75,39.299999,37.75,38.919998,2513200,31.791202
2005-11-11,38.5,38.959999,38.470001,38.91,1229800,31.783035
2005-11-14,38.799999,39.400002,38.509998,39.34,1160000,32.134274
2005-11-15,39.0,39.400002,38.470001,39.209999,1793000,32.028085
2005-11-16,39.349998,40.0,39.09,39.830002,2568800,32.534525
2005-11-17,40.099998,41.18,39.779999,40.0,2628100,32.673385
2005-11-18,40.450001,40.869999,39.639999,39.919998,1556000,32.608037
2005-11-21,40.169998,42.0,40.169998,41.580002,2906900,33.963985
2005-11-22,41.400002,42.389999,41.290001,42.150002,2368700,34.429581
2005-11-23,42.200001,43.759998,42.200001,43.470001,2149100,35.507802
2005-11-25,44.099998,44.25,42.950001,43.450001,468300,35.491465
2005-11-28,43.400002,44.200001,43.099998,43.900002,2377400,35.859041
2005-11-29,43.75,43.990002,41.73,42.549999,2962200,34.756313
2005-11-30,42.900002,43.25,41.299999,42.049999,2761100,34.347896
2005-12-01,41.950001,43.880001,41.889999,43.310001,1833000,35.377109
2005-12-02,43.25,43.740002,42.599998,43.23,1057900,35.311761
2005-12-05,43.220001,43.700001,42.91,43.52,1042900,35.548643
2005-12-06,43.700001,43.84,43.48,43.610001,1154900,35.622159
2005-12-07,43.59,44.779999,43.220001,43.360001,2063900,35.41795
2005-12-08,43.650002,44.049999,43.310001,43.650002,1227800,35.654833
2005-12-09,43.639999,44.02,43.360001,43.759998,515400,35.744682
2005-12-12,43.75,43.759998,42.880001,43.130001,1504900,35.230078
2005-12-13,42.900002,43.369999,42.509998,42.830002,1321300,34.985029
2005-12-14,42.830002,43.029999,41.52,41.529999,1701600,33.923141
2005-12-15,41.43,41.900002,41.09,41.189999,1220600,33.645417
2005-12-16,41.439999,42.41,41.41,42.259998,1305600,34.51943
2005-12-19,42.310001,42.630001,41.119999,41.310001,676200,33.74344
2005-12-20,41.25,42.400002,41.0,41.57,1121000,33.955815
2005-12-21,41.57,42.599998,40.970001,41.549999,1313300,33.939478
2005-12-22,41.57,42.389999,41.200001,41.93,808300,34.249876
2005-12-23,39.419998,42.560001,39.419998,41.93,576000,34.249876
2005-12-27,41.900002,42.080002,40.799999,40.900002,941900,33.408538
2005-12-28,40.900002,41.330002,40.799999,41.049999,562800,33.531061
2005-12-29,41.150002,41.169998,40.580002,40.84,718300,33.359526
2005-12-30,40.509998,41.080002,40.459999,41.0,511700,33.49022
2006-01-03,41.299999,42.200001,40.900002,42.099998,1351600,34.388737
2006-01-04,43.0,44.389999,42.880001,43.419998,3492100,35.466958
2006-01-05,43.540001,44.5,43.169998,43.93,1777200,35.883545
2006-01-06,43.939999,44.200001,43.380001,43.599998,2265200,35.613989
2006-01-09,43.599998,45.099998,43.599998,45.09,1310800,36.831074
2006-01-10,44.799999,44.869999,44.459999,44.66,1254200,36.479834
2006-01-11,44.73,44.779999,43.959999,44.200001,915500,36.104091
2006-01-12,44.209999,44.580002,43.950001,44.16,1161500,36.071417
2006-01-13,44.099998,44.25,43.709999,43.880001,907200,35.842704
2006-01-17,43.650002,43.900002,42.970001,43.529999,684400,35.55681
2006-01-18,43.299999,43.900002,42.27,42.32,976600,34.568441
2006-01-19,42.450001,42.91,42.029999,42.599998,947100,34.797154
2006-01-20,42.5,42.549999,41.880001,42.200001,1223300,34.470422
2006-01-23,42.439999,43.900002,42.419998,43.5,1574200,35.532306
2006-01-24,42.099998,43.700001,41.689999,43.48,2090500,35.515969
2006-01-25,43.490002,43.490002,42.939999,43.209999,1058600,35.295424
2006-01-26,43.950001,44.299999,43.009998,43.299999,1300600,35.368939
2006-01-27,42.880001,43.689999,41.759998,42.400002,2305000,34.633789
2006-01-30,42.400002,42.450001,41.5,41.549999,1937300,33.939478
2006-01-31,41.400002,41.450001,40.509998,40.689999,2449400,33.325226
2006-02-01,40.740002,43.119999,40.299999,41.25,1414900,33.783868
2006-02-02,41.299999,42.689999,41.299999,42.509998,1530900,34.81581
2006-02-03,42.150002,43.049999,41.57,42.599998,2156700,34.889521
2006-02-06,42.599998,43.450001,42.389999,43.330002,1148500,35.487396
2006-02-07,43.18,43.799999,43.07,43.549999,773400,35.667574
2006-02-08,43.400002,43.950001,43.400002,43.810001,923500,35.880517
2006-02-09,43.950001,44.240002,43.73,43.919998,514700,35.970604
2006-02-10,43.700001,43.939999,43.279999,43.57,659700,35.683955
2006-02-13,43.580002,43.59,42.860001,42.880001,712100,35.118844
2006-02-14,42.82,44.110001,42.529999,43.939999,1260200,35.986985
2006-02-15,43.599998,43.610001,42.759998,43.27,1072400,35.438254
2006-02-16,43.290001,43.48,42.77,43.43,720500,35.569295
2006-02-17,43.41,44.259998,43.41,44.02,758500,36.052507
2006-02-21,43.139999,44.349998,43.139999,43.919998,436000,35.970604
2006-02-22,44.080002,45.650002,44.080002,45.459999,1485900,37.23187
2006-02-23,44.580002,47.25,44.580002,46.419998,1164800,38.018112
2006-02-24,45.549999,46.48,45.549999,46.259998,869000,37.887071
2006-02-27,46.200001,46.959999,45.869999,46.799999,938400,38.329334
2006-02-28,45.919998,47.16,45.360001,45.48,1065900,37.24825
2006-03-01,45.59,46.189999,45.529999,45.889999,525800,37.584041
2006-03-02,45.77,45.799999,44.5,44.57,1151800,36.502958
2006-03-03,44.32,44.790001,43.669998,44.0,1331500,36.036126
2006-03-06,43.900002,43.939999,42.650002,42.77,916100,35.028753
2006-03-07,42.73,43.77,42.68,43.650002,1619600,35.749476
2006-03-08,43.650002,43.950001,43.189999,43.34,1085300,35.495584
2006-03-09,43.439999,43.860001,43.049999,43.330002,867200,35.487396
2006-03-10,43.25,43.369999,42.860001,43.299999,911500,35.462824
2006-03-13,43.349998,43.889999,43.330002,43.799999,754600,35.872325
2006-03-14,43.75,45.130001,43.75,45.029999,1289200,36.879698
2006-03-15,44.84,45.549999,44.759998,45.389999,671400,37.17454
2006-03-16,45.599998,46.130001,45.560001,46.049999,844200,37.715081
2006-03-17,46.310001,46.59,45.779999,45.900002,1275700,37.592233
2006-03-20,46.060001,46.150002,45.220001,45.349998,981900,37.141779
2006-03-21,45.299999,45.52,43.880001,43.919998,1028500,35.970604
2006-03-22,43.869999,44.34,43.869999,44.25,1277300,36.240877
2006-03-23,44.25,44.529999,43.790001,44.049999,721300,36.077076
2006-03-24,44.25,44.43,43.880001,44.25,953200,36.240877
2006-03-27,44.419998,44.619999,44.200001,44.459999,837100,36.412867
2006-03-28,44.470001,44.470001,43.099998,43.130001,4579900,35.323595
2006-03-29,43.200001,43.380001,42.799999,42.91,1331900,35.143413
2006-03-30,42.91,44.98,42.91,44.799999,2895500,36.691328
2006-03-31,45.0,45.560001,44.75,45.060001,1603400,36.90427
2006-04-03,45.5,45.700001,44.610001,44.66,1010700,36.576668
2006-04-04,44.599998,45.040001,44.5,45.0,686400,36.855129
2006-04-05,45.099998,45.52,44.900002,45.099998,715700,36.937028
2006-04-06,45.099998,45.150002,44.509998,44.93,1162400,36.797799
2006-04-07,44.970001,45.34,44.110001,44.200001,949900,36.199927
2006-04-10,44.25,45.610001,44.200001,45.380001,1271800,37.166351
2006-04-11,45.470001,45.740002,45.200001,45.299999,1102900,37.100829
2006-04-12,45.369999,45.900002,45.23,45.549999,944500,37.30558
2006-04-13,45.560001,45.900002,45.400002,45.48,559100,37.24825
2006-04-17,45.599998,45.990002,45.130001,45.330002,520900,37.125401
2006-04-18,45.360001,46.889999,45.209999,46.799999,985100,38.329334
2006-04-19,46.98,48.43,46.919998,47.650002,1413300,39.025488
2006-04-20,47.57,47.73,47.18,47.25,1062400,38.697885
2006-04-21,47.32,47.549999,46.869999,47.119999,712600,38.591414
2006-04-24,46.849998,47.450001,46.830002,46.91,757600,38.419424
2006-04-25,46.939999,47.75,46.75,47.220001,724700,38.673316
2006-04-26,47.75,49.200001,47.34,48.75,1263600,39.92639
2006-04-27,48.66,50.080002,47.990002,50.0,862100,40.950143
2006-04-28,49.950001,49.950001,49.0,49.040001,1001500,40.163901
2006-05-01,49.049999,49.560001,48.610001,48.740002,1145500,39.918201
2006-05-02,48.490002,48.66,47.759998,48.099998,770700,39.394037
2006-05-03,48.07,48.5,48.0,48.130001,530400,39.418609
2006-05-04,48.349998,48.82,48.099998,48.299999,602200,39.557838
2006-05-05,48.290001,48.779999,48.110001,48.549999,1004800,39.762589
2006-05-08,48.549999,49.169998,48.549999,49.130001,647000,40.328986
2006-05-09,48.93,49.869999,48.27,49.580002,756100,40.698375
2006-05-10,49.490002,49.759998,48.869999,49.189999,577800,40.378236
2006-05-11,49.02,49.189999,48.169998,48.349998,690800,39.688711
2006-05-12,48.299999,48.43,47.419998,47.5,992900,38.990979
2006-05-15,47.200001,47.900002,46.849998,47.900002,747900,39.319325
2006-05-16,47.889999,47.889999,46.599998,47.349998,1075600,38.867848
2006-05-17,46.849998,46.889999,45.349998,45.43,1038900,37.291793
2006-05-18,45.700001,45.970001,44.900002,44.950001,1286000,36.897779
2006-05-19,45.0,45.419998,44.279999,44.849998,2382100,36.815691
2006-05-22,44.860001,45.200001,43.82,43.959999,1544800,36.085124
2006-05-23,43.950001,44.779999,43.849998,44.18,1134700,36.265715
2006-05-24,44.150002,44.689999,43.450001,43.970001,1317300,36.093334
2006-05-25,44.200001,44.740002,43.619999,44.419998,1071200,36.46272
2006-05-26,44.419998,44.98,44.200001,44.48,735000,36.511973
