Date,Open,High,Low,Close,Volume,Adj Close
1984-12-31,4.375,4.625,4.375,4.625,791000,2.033111
1985-01-02,4.625,4.625,4.5,4.625,99500,2.033111
1985-01-03,4.625,4.625,4.5,4.625,48900,2.033111
1985-01-04,4.625,4.625,4.5,4.625,60300,2.033111
1985-01-07,4.5,4.625,4.5,4.5,76300,1.978162
1985-01-08,4.5,4.625,4.375,4.5,155900,1.978162
1985-01-09,4.5,4.625,4.375,4.5,181400,1.978162
1985-01-10,4.625,4.875,4.625,4.875,266300,2.143009
1985-01-11,4.875,5.125,4.75,5.125,293600,2.252907
1985-01-14,5.125,5.25,4.875,5.0,237900,2.197958
1985-01-15,5.125,5.375,5.125,5.25,585100,2.307856
1985-01-16,5.25,5.625,5.25,5.5,562500,2.417754
1985-01-17,5.875,6.0,5.75,6.0,337900,2.63755
1985-01-18,6.0,6.125,5.875,6.125,432200,2.692498
1985-01-21,6.125,6.375,6.125,6.375,258900,2.802396
1985-01-22,6.625,6.75,6.125,6.25,480800,2.747447
1985-01-23,6.25,6.375,6.125,6.375,246700,2.802396
1985-01-24,6.375,6.5,6.25,6.25,412400,2.747447
1985-01-25,6.25,6.375,6.125,6.25,387600,2.747447
1985-01-28,6.125,6.25,5.875,5.875,263500,2.582601
1985-01-29,5.875,6.0,5.625,5.875,197100,2.582601
1985-01-30,6.0,6.375,5.875,6.375,306000,2.802396
1985-01-31,6.5,6.5,6.375,6.375,158600,2.802396
1985-02-01,6.375,6.5,6.25,6.375,182200,2.802396
1985-02-04,6.375,6.5,6.25,6.375,131900,2.802396
1985-02-05,6.375,6.5,6.25,6.375,96300,2.802396
1985-02-06,6.375,6.5,6.375,6.375,80300,2.802396
1985-02-07,6.375,6.5,6.375,6.5,79100,2.857345
1985-02-08,6.375,6.5,6.25,6.25,73900,2.747447
1985-02-11,6.25,6.375,6.25,6.25,76700,2.747447
1985-02-12,6.25,6.375,6.25,6.25,71900,2.747447
1985-02-13,6.25,6.375,6.25,6.25,60900,2.747447
1985-02-14,6.25,6.5,6.25,6.375,187800,2.802396
1985-02-15,6.375,6.875,6.25,6.25,122900,2.747447
1985-02-19,6.25,6.375,6.25,6.375,70900,2.802396
1985-02-20,6.375,6.375,6.25,6.25,138200,2.747447
1985-02-21,6.25,6.375,6.125,6.25,63300,2.747447
