Date,Open,High,Low,Close,Volume,Adj Close
1997-11-10,25.75,25.75,25.125,25.1875,947200,10.67583
1997-11-11,25.1875,25.4375,25.125,25.3125,514700,10.728812
1997-11-12,25.25,25.875,25.125,25.625,344700,10.861266
1997-11-13,25.5625,25.9375,25.5625,25.875,1007700,10.96723
1997-11-14,25.875,26.0,25.6875,26.0,1394900,11.020212
1997-11-17,25.9375,26.25,25.875,26.125,706600,11.073193
1997-11-18,26.0,26.375,25.9375,26.0625,625800,11.046702
1997-11-19,26.0,26.25,26.0,26.25,342400,11.126175
1997-11-20,26.1875,26.625,26.1875,26.5,558800,11.232139
1997-11-21,26.75,26.875,26.5,26.875,640800,11.391084
1997-11-24,26.625,27.0,26.5,26.875,330800,11.391084
1997-11-25,26.8125,27.25,26.75,27.125,1021000,11.497048
1997-11-26,27.1875,27.1875,26.875,26.875,488700,11.391084
1997-11-28,27.0,27.0,26.875,27.0,244200,11.444066
1997-12-01,27.0,27.375,26.9375,27.375,836200,11.603011
1997-12-02,27.25,27.375,27.0625,27.125,437800,11.497048
1997-12-03,27.25,27.25,26.875,27.125,338400,11.497048
1997-12-04,27.25,27.6875,27.0625,27.375,1405800,11.603011
1997-12-05,27.125,27.875,27.125,27.3125,362500,11.57652
1997-12-08,27.375,27.4375,27.125,27.3125,312900,11.57652
1997-12-09,27.1875,27.3125,26.9375,27.1875,365300,11.523539
1997-12-10,27.4375,27.5,27.1875,27.3125,354100,11.57652
1997-12-11,27.25,27.3125,26.9375,27.125,199600,11.497048
1997-12-12,27.25,27.3125,27.0,27.1875,680500,11.523539
1997-12-15,27.1875,27.5625,27.1875,27.5,489500,11.655993
1997-12-16,27.5,27.5625,27.375,27.4375,310200,11.629502
1997-12-17,27.5625,27.5625,27.3125,27.4375,386100,11.629502
1997-12-18,27.4375,27.8125,27.375,27.8125,1640900,11.788447
1997-12-19,27.8125,28.3125,27.6875,28.3125,2164100,12.000375
1997-12-22,28.3125,28.8125,28.25,28.625,851400,12.132829
1997-12-23,28.4375,28.75,28.3125,28.5,493200,12.079847
1997-12-24,28.5625,28.6875,28.4375,28.625,92200,12.132829
1997-12-26,28.5625,28.625,28.0625,28.25,215300,11.973884
1997-12-29,28.25,28.75,28.125,28.5625,280800,12.106338
1997-12-30,28.625,28.8125,28.5,28.8125,268600,12.212302
1997-12-31,28.625,29.0,28.5625,29.0,482900,12.291774
1998-01-02,28.75,28.9375,28.5,28.875,317200,12.238793
1998-01-05,28.6875,28.90625,28.1875,28.375,734200,12.026866
1998-01-06,28.25,28.625,28.25,28.5625,1507800,12.106338
1998-01-07,28.4375,28.4375,28.0625,28.4375,724000,12.053356
1998-01-08,28.3125,28.4375,28.0625,28.375,461600,12.026866
1998-01-09,28.3125,28.5625,28.125,28.3125,863900,12.000375
1998-01-12,27.875,28.75,27.875,28.75,679200,12.185811
