Date,Open,High,Low,Close,Volume,Adj Close
2016-07-05,49.400002,54.34,48.395,48.599998,6230700,48.599998
2016-07-06,47.07,48.599998,46.290001,47.75,6706500,47.75
2016-07-07,47.619999,48.0,47.345001,47.740002,5486800,47.740002
2016-07-08,47.959999,50.610001,47.529999,50.200001,4243500,50.200001
2016-07-11,49.209999,51.23,48.98,51.119999,6042300,51.119999
2016-07-12,51.0,51.060001,50.259998,50.57,5552900,50.57
2016-07-13,50.57,51.099998,49.830002,50.619999,4864700,50.619999
2016-07-14,50.330002,51.740002,49.950001,51.57,3481600,51.57
2016-07-15,51.779999,51.91,50.610001,51.23,3689800,51.23
2016-07-18,50.77,51.580002,50.509998,51.290001,1557500,51.290001
2016-07-19,51.040001,51.560001,50.439999,51.549999,1954700,51.549999
2016-07-20,51.84,51.919998,50.009998,50.34,3351700,50.34
2016-07-21,50.400002,50.619999,49.990002,50.240002,3029900,50.240002
2016-07-22,50.0,50.290001,49.290001,49.400002,2450600,49.400002
2016-07-25,49.220001,49.450001,47.860001,48.98,3044800,48.98
2016-07-26,48.560001,49.419998,48.279999,49.279999,1571400,49.279999
2016-07-27,49.080002,49.5,48.715,48.919998,1628600,48.919998
2016-07-28,48.740002,49.09,48.345001,48.650002,2923100,48.650002
2016-07-29,48.459999,48.799999,48.009998,48.209999,4465400,48.209999
