Date,Open,High,Low,Close,Volume,Adj Close
1984-12-17,56.375038,56.375038,56.0,56.25,183200,4.261685
1984-12-18,56.5,58.0,56.5,57.624962,603200,4.365856
1984-12-19,57.75,57.875038,57.624962,57.875038,440000,4.384803
1984-12-20,57.75,57.75,57.5,57.75,381600,4.37533
1984-12-21,57.5,57.5,56.875038,56.875038,219200,4.30904
1984-12-24,57.124962,57.25,57.0,57.124962,24000,4.327975
1984-12-26,57.375038,57.5,57.25,57.5,18400,4.356389
1984-12-27,57.375038,57.375038,57.0,57.124962,23200,4.327975
1984-12-28,57.0,57.0,56.5,56.5,40800,4.280626
1984-12-31,56.75,57.375038,56.624962,57.375038,62400,4.346921
1985-01-02,57.25,57.624962,57.0,57.624962,27200,4.365856
1985-01-03,57.5,57.5,56.5,56.75,109600,4.299566
1985-01-04,56.5,56.5,56.25,56.25,12800,4.261685
1985-01-07,56.25,56.25,55.25,55.5,116000,4.204862
1985-01-08,55.5,55.5,55.124962,55.25,363200,4.185922
1985-01-09,54.875038,55.75,54.875038,55.75,825600,4.223803
1985-01-10,56.5,58.75,56.5,58.75,1064800,4.451093
1985-01-11,58.75,59.0,58.0,58.25,511200,4.413211
1985-01-14,58.75,60.0,58.624962,59.75,133600,4.526856
1985-01-15,59.75,61.25,59.75,61.0,656000,4.62156
1985-01-16,61.0,62.75,61.0,62.5,292000,4.735205
1985-01-17,62.5,62.5,61.875038,61.875038,64800,4.687856
1985-01-18,62.0,63.0,62.0,63.0,118400,4.773087
1985-01-21,62.875038,66.0,62.875038,65.25,619200,4.943554
1985-01-22,65.5,66.75,65.0,65.0,400800,4.924614
1985-01-23,64.75,64.875038,63.75,64.5,129600,4.886732
1985-01-24,65.0,65.875038,65.0,65.75,136800,4.981436
1985-01-25,65.5,65.75,65.375038,65.624962,104000,4.971963
1985-01-28,65.75,65.75,65.25,65.25,58400,4.943554
1985-01-29,65.5,65.875038,65.25,65.875038,157600,4.990909
1985-01-30,67.25,68.0,67.0,68.0,316000,5.151903
1985-01-31,68.0,68.0,67.5,67.5,119200,5.114022
1985-02-01,67.5,67.5,66.25,66.25,184800,5.019318
1985-02-04,66.0,66.624962,66.0,66.25,52800,5.019318
1985-02-05,66.25,67.0,66.25,67.0,100800,5.100004
1985-02-06,66.875038,67.5,66.875038,67.25,289600,5.119034
1985-02-07,67.25,67.75,67.25,67.75,128000,5.157094
1985-02-08,67.75,68.375038,67.75,68.375038,44000,5.204672
1985-02-11,68.5,68.875038,68.5,68.875038,143200,5.242731
1985-02-12,68.624962,68.75,68.25,68.25,240800,5.195154
1985-02-13,68.5,69.0,68.25,68.75,255200,5.233213
1985-02-14,69.0,69.0,68.5,68.5,107200,5.214184
1985-02-15,68.5,68.5,67.0,67.0,160000,5.100004
1985-02-19,66.0,66.0,65.25,65.25,121600,4.966795
1985-02-20,65.25,65.624962,65.25,65.375038,154400,4.976313
1985-02-21,65.375038,65.5,65.25,65.25,35200,4.966795
1985-02-22,65.5,65.5,65.25,65.25,19200,4.966795
1985-02-25,65.25,65.5,65.0,65.5,52800,4.985825
1985-02-26,65.5,67.25,65.5,66.875038,140000,5.090492
1985-02-27,66.75,66.875038,66.375038,66.375038,116000,5.052433
1985-02-28,66.124962,66.624962,66.124962,66.5,83200,5.061945
1985-03-01,66.25,67.0,66.25,66.624962,156800,5.071457
1985-03-04,66.5,66.5,64.75,65.5,152000,4.985825
1985-03-05,65.5,65.5,64.875038,64.875038,212800,4.938253
1985-03-06,64.875038,64.875038,64.25,64.375038,20000,4.900194
1985-03-07,64.25,64.25,63.5,63.75,72000,4.852616
1985-03-08,63.25,63.25,62.75,63.0,99200,4.795526
1985-03-11,63.0,63.0,61.75,61.75,56800,4.700377
1985-03-12,61.75,61.75,61.375038,61.5,117600,4.681347
1985-03-13,61.624962,61.624962,61.124962,61.124962,97600,4.6528
1985-03-14,61.375038,62.5,61.375038,62.25,45600,4.738437
1985-03-15,62.25,62.75,62.25,62.25,152000,4.738437
1985-03-18,62.375038,62.375038,61.375038,61.624962,48800,4.690859
1985-03-19,61.75,61.875038,61.75,61.75,184000,4.700377
1985-03-20,61.75,61.875038,61.5,61.75,119200,4.700377
1985-03-21,61.875038,62.375038,61.624962,62.375038,91200,4.747955
1985-03-22,62.25,62.5,62.25,62.5,67200,4.757467
1985-03-25,62.25,62.375038,62.0,62.0,18400,4.719407
1985-03-26,62.25,62.875038,62.25,62.75,138400,4.776497
1985-03-27,62.875038,63.25,62.875038,63.124962,106400,4.805038
1985-03-28,63.25,63.375038,63.0,63.124962,80000,4.805038
1985-03-29,62.875038,62.875038,62.624962,62.75,145600,4.776497
1985-04-01,62.75,62.75,62.0,62.25,64800,4.738437
1985-04-02,62.0,62.25,61.5,61.5,62400,4.681347
1985-04-03,61.25,61.25,60.0,60.0,74400,4.567168
1985-04-04,59.75,59.875038,59.25,59.375038,123200,4.519596
1985-04-08,59.5,59.5,59.124962,59.124962,115200,4.500561
1985-04-09,59.25,59.25,58.875038,58.875038,164800,4.481537
1985-04-10,58.875038,59.5,58.875038,59.5,118400,4.529108
1985-04-11,59.875038,61.0,59.875038,61.0,260800,4.643288
1985-04-12,61.0,61.375038,61.0,61.375038,27200,4.671835
1985-04-15,61.75,62.5,61.75,62.5,58400,4.757467
1985-04-16,62.75,62.75,62.25,62.25,271200,4.738437
1985-04-17,62.375038,62.375038,61.375038,61.375038,37600,4.671835
1985-04-18,61.375038,61.375038,60.0,61.0,459200,4.643288
1985-04-19,61.0,61.0,60.75,60.75,23200,4.624258
1985-04-22,61.0,61.124962,60.624962,60.624962,52800,4.61474
1985-04-23,60.875038,61.25,60.624962,61.25,42400,4.662317
1985-04-24,61.25,61.25,60.75,61.124962,15200,4.6528
1985-04-25,61.0,61.25,60.624962,60.624962,197600,4.61474
1985-04-26,60.75,60.875038,60.0,60.0,188000,4.567168
1985-04-29,59.75,59.75,59.0,59.0,70400,4.491049
1985-04-30,58.875038,59.25,58.875038,59.25,539200,4.53622
1985-05-01,59.25,59.375038,58.75,58.75,88000,4.497939
1985-05-02,58.5,58.875038,58.375038,58.875038,14400,4.507512
1985-05-03,59.0,59.0,58.75,58.875038,24800,4.507512
1985-05-06,58.624962,58.875038,58.5,58.5,12800,4.478799
1985-05-07,58.25,59.0,58.25,59.0,32000,4.517079
1985-05-08,58.875038,59.0,58.5,58.624962,223200,4.488366
1985-05-09,58.5,58.624962,58.124962,58.624962,160000,4.488366
