Date,Open,High,Low,Close,Volume,Adj Close
2015-10-19,18.5,18.5,16.48,16.549999,1581600,16.382203
2015-10-20,16.25,16.93,16.25,16.870001,709600,16.69896
2015-10-21,17.25,17.35,16.4,16.48,78600,16.312913
2015-10-22,16.709999,17.049999,16.24,16.950001,110000,16.778149
2015-10-23,17.25,17.25,16.85,17.0,59900,16.827641
2015-10-26,17.110001,17.110001,16.309999,16.42,514800,16.253522
2015-10-27,16.559999,16.75,15.6,15.73,636000,15.570517
2015-10-28,15.9,16.35,15.845,16.280001,296300,16.114942
2015-10-29,16.01,16.27,15.55,15.95,290400,15.788287
2015-10-30,15.9,16.1,14.72,14.72,2449300,14.570758
2015-11-02,14.99,15.17,13.86,14.49,40866200,14.343089
2015-11-03,14.07,14.71,13.675,14.36,40205800,14.214407
2015-11-04,14.39,14.51,13.61,13.66,31525800,13.521505
2015-11-05,13.64,13.89,13.12,13.28,22190500,13.145357
2015-11-06,13.18,14.48,13.15,14.4,30050000,14.254002
2015-11-09,14.26,14.48,14.13,14.2,17528100,14.05603
2015-11-10,14.13,14.44,14.01,14.41,14777800,14.2639
2015-11-11,14.2,14.31,14.09,14.11,11009400,13.966942
2015-11-12,13.81,13.82,13.59,13.7,20371700,13.561099
2015-11-13,13.61,13.76,13.15,13.39,14924500,13.254242
2015-11-16,13.37,13.61,13.14,13.38,13781700,13.244344
2015-11-17,13.38,13.49,13.12,13.22,12420800,13.085966
2015-11-18,13.48,13.73,13.189,13.64,13020500,13.501708
2015-11-19,13.53,13.89,13.52,13.78,13171500,13.640288
2015-11-20,13.78,14.63,13.68,14.21,18559400,14.065928
2015-11-23,14.17,14.21,13.57,13.85,15317300,13.709579
2015-11-24,13.58,14.025,13.5,13.69,24110900,13.5512
2015-11-25,13.91,14.86,13.84,14.12,22677100,13.976841
2015-11-27,14.12,14.64,14.05,14.35,6041700,14.204509
2015-11-30,14.23,15.0,14.18,14.86,29104300,14.709338
2015-12-01,14.88,15.88,14.85,15.61,25106600,15.451734
2015-12-02,15.37,15.54,14.87,14.95,12681100,14.798425
2015-12-03,15.0,15.34,14.58,14.62,18905200,14.471771
2015-12-04,14.39,15.295,14.24,15.22,12001100,15.065688
2015-12-07,15.0,15.48,14.92,15.45,9546000,15.348821
2015-12-08,15.09,15.29,14.62,15.17,11617600,15.070655
2015-12-09,14.99,15.39,14.68,14.85,14261900,14.752751
2015-12-10,14.79,14.81,14.53,14.72,11350200,14.623602
2015-12-11,14.99,15.4,14.14,14.18,10616200,14.087139
2015-12-14,14.3,14.5,13.92,14.44,11528100,14.345435
2015-12-15,14.51,14.98,14.485,14.56,12888700,14.46465
2015-12-16,14.62,14.81,14.55,14.7,7841000,14.603733
2015-12-17,14.61,14.72,14.22,14.31,7624700,14.216288
2015-12-18,14.27,14.385,14.0,14.16,19337600,14.067269
2015-12-21,14.12,14.4,13.87,14.02,9863300,13.928187
2015-12-22,14.04,14.14,13.92,14.06,7292500,13.967925
2015-12-23,14.19,14.97,14.05,14.91,11252000,14.812358
2015-12-24,14.81,15.17,14.79,15.02,2178500,14.921638
2015-12-28,14.89,15.28,14.82,15.23,5930600,15.130262
2015-12-29,15.29,15.437,15.18,15.2,6275800,15.100459
2015-12-30,15.29,15.48,15.15,15.28,6275200,15.179935
2015-12-31,15.23,15.31,15.1,15.2,6768100,15.100459
2016-01-04,14.97,15.15,14.74,15.13,15076800,15.030917
2016-01-05,15.13,15.25,14.94,15.03,10328200,14.931572
2016-01-06,14.62,15.0,14.51,14.8,11315100,14.703079
2016-01-07,14.5,14.56,13.65,13.71,19844700,13.620217
2016-01-08,13.77,14.02,13.31,13.54,16431900,13.45133
2016-01-11,13.43,13.71,13.07,13.26,15110800,13.173164
2016-01-12,13.35,13.42,13.09,13.26,12458500,13.173164
2016-01-13,13.35,13.35,12.53,12.75,17720800,12.666503
2016-01-14,12.75,13.17,12.65,13.0,13352500,12.914866
2016-01-15,12.6,12.8,12.49,12.54,19729500,12.457878
2016-01-19,12.68,12.78,12.2,12.32,12925900,12.239319
2016-01-20,12.0,12.2,11.625,12.06,16640100,11.981022
2016-01-21,12.0,12.54,11.82,12.41,16729600,12.32873
2016-01-22,12.7,13.43,12.65,13.35,15269900,13.262574
2016-01-25,13.29,13.55,13.12,13.34,11183400,13.25264
2016-01-26,13.35,13.725,13.35,13.6,10726100,13.510937
2016-01-27,13.53,13.61,12.955,13.39,18484500,13.302312
2016-01-28,13.45,13.7,13.07,13.19,9874400,13.103621
2016-01-29,13.41,13.88,13.35,13.76,11361900,13.669889
2016-02-01,13.67,13.88,13.53,13.79,9549600,13.699693
2016-02-02,13.7,13.97,13.36,13.45,9677500,13.361919
2016-02-03,13.66,13.77,13.11,13.37,7553000,13.282443
2016-02-04,13.31,13.89,13.31,13.85,6499100,13.7593
2016-02-05,13.69,13.75,13.035,13.2,13227700,13.113556
2016-02-08,13.0,13.05,12.37,12.51,14815900,12.428075
2016-02-09,12.37,12.86,12.31,12.72,6686500,12.6367
2016-02-10,12.77,13.07,12.71,12.86,5982200,12.775783
2016-02-11,12.57,12.67,12.015,12.4,9834300,12.318795
2016-02-12,12.5,12.79,12.18,12.29,10549400,12.209516
2016-02-16,12.41,12.49,12.27,12.33,11976900,12.249254
2016-02-17,12.39,13.14,12.37,13.02,8666200,12.934736
2016-02-18,13.05,13.7,13.02,13.53,11734100,13.441395
2016-02-19,13.51,13.74,13.25,13.67,9414400,13.580478
2016-02-22,13.75,13.88,13.57,13.8,10755600,13.709627
2016-02-23,13.72,13.82,12.84,13.09,14647000,13.004277
2016-02-24,13.0,13.57,12.82,13.53,13226900,13.441395
2016-02-25,13.45,13.71,13.24,13.68,12079900,13.590413
2016-02-26,13.78,13.8,13.15,13.44,10824700,13.351984
2016-02-29,13.31,13.48,13.2,13.27,12747300,13.183098
2016-03-01,13.42,13.47,13.09,13.28,8354200,13.193032
2016-03-02,13.38,14.05,13.35,13.9,10016700,13.808972
2016-03-03,13.91,13.95,13.28,13.6,10029600,13.510937
2016-03-04,14.9,15.84,14.82,15.44,33370500,15.338887
2016-03-07,15.13,15.99,15.06,15.97,18478200,15.922134
2016-03-08,15.75,15.79,15.205,15.23,12330500,15.184351
2016-03-09,15.34,15.835,15.3,15.49,11069400,15.443572
2016-03-10,15.55,16.209999,15.52,15.9,14285100,15.852343
2016-03-11,16.0,16.440001,16.0,16.33,15683600,16.281054
2016-03-14,16.200001,16.57,16.040001,16.41,9672400,16.360814
2016-03-15,16.360001,16.879999,16.25,16.77,13934200,16.719736
2016-03-16,16.709999,17.23,16.6,17.190001,12514000,17.138477
2016-03-17,17.129999,17.33,16.959999,17.16,10868200,17.108567
2016-03-18,17.17,17.58,17.08,17.33,30962900,17.278057
2016-03-21,17.33,17.940001,17.299999,17.709999,10730900,17.656917
2016-03-22,17.41,18.08,17.34,17.51,11318500,17.457518
2016-03-23,17.52,17.57,17.09,17.459999,11434900,17.407667
2016-03-24,17.41,17.639999,17.110001,17.57,8870000,17.517338
2016-03-28,17.48,17.665001,17.219999,17.51,5532300,17.457518
2016-03-29,17.370001,17.68,17.219999,17.65,5926600,17.597098
2016-03-30,17.719999,17.915001,17.629999,17.889999,10552600,17.836378
2016-03-31,17.84,17.959999,17.51,17.73,10389800,17.676858
2016-04-01,17.610001,18.545,17.559999,18.4,14849900,18.34485
2016-04-04,18.450001,18.450001,17.93,18.040001,7667000,17.98593
2016-04-05,17.870001,17.91,17.559999,17.610001,8300000,17.557219
2016-04-06,17.65,17.98,17.459999,17.959999,10391900,17.906168
2016-04-07,17.790001,18.040001,17.625,17.74,9413700,17.686828
2016-04-08,17.85,18.295,17.809999,17.889999,7279800,17.836378
2016-04-11,17.950001,18.059999,17.66,17.73,5878500,17.676858
2016-04-12,17.709999,17.76,17.18,17.24,8787900,17.188327
2016-04-13,17.290001,17.51,17.15,17.5,8243200,17.447548
2016-04-14,17.360001,17.4,17.059999,17.26,6686200,17.208267
2016-04-15,17.41,17.48,16.85,17.4,11862000,17.347847
2016-04-18,17.209999,17.485001,17.139999,17.440001,5661500,17.387728
2016-04-19,17.459999,17.48,17.15,17.24,6439700,17.188327
2016-04-20,17.07,17.5,17.07,17.4,5440100,17.347847
2016-04-21,17.34,17.74,17.32,17.459999,5970400,17.407667
2016-04-22,17.440001,17.700001,17.33,17.49,7958000,17.437577
2016-04-25,17.360001,17.41,16.82,17.209999,5842100,17.158416
2016-04-26,17.25,17.465,17.23,17.360001,6285100,17.307968
2016-04-27,17.299999,17.52,17.25,17.309999,6363600,17.258117
2016-04-28,17.17,17.385,16.92,17.030001,4787600,16.978957
2016-04-29,16.889999,16.91,16.51,16.66,7088100,16.610065
2016-05-02,16.66,16.75,16.280001,16.4,8461200,16.350844
2016-05-03,16.23,16.25,15.78,15.93,11065700,15.882254
2016-05-04,15.8,16.0,15.68,15.93,6620500,15.882254
2016-05-05,15.95,15.97,15.64,15.72,3519200,15.672883
2016-05-06,15.63,15.86,15.56,15.78,4983600,15.732703
2016-05-09,15.71,15.96,15.67,15.86,4943300,15.812463
2016-05-10,15.89,15.9,15.61,15.89,4761700,15.842374
2016-05-11,15.89,16.355,15.88,16.02,6470200,15.971984
2016-05-12,16.09,16.139999,15.854,15.9,5417900,15.852343
2016-05-13,15.9,16.115,15.69,15.77,6789000,15.722733
2016-05-16,15.76,16.094999,15.71,15.96,8819400,15.912163
2016-05-17,15.88,16.200001,15.69,15.82,14592600,15.772583
2016-05-18,15.79,15.93,15.515,15.67,6576500,15.623033
2016-05-19,15.51,15.79,15.38,15.78,6684900,15.732703
2016-05-20,15.76,15.99,15.66,15.87,8982900,15.822433
2016-05-23,15.88,16.27,15.87,16.07,8649900,16.021833
2016-05-24,16.1,16.34,15.99,16.25,12562100,16.201294
2016-05-25,18.33,18.5,17.120001,17.35,43833800,17.297998
2016-05-26,17.0,17.690001,16.84,17.389999,21733100,17.337877
2016-05-27,17.459999,18.34,17.459999,18.26,22958500,18.20527
2016-05-31,18.0,18.469999,17.76,18.469999,24952900,18.41464
2016-06-01,18.309999,18.379999,18.139999,18.290001,12293100,18.235181
2016-06-02,18.139999,18.530001,18.1,18.5,13663300,18.44455
2016-06-03,18.4,18.5,18.280001,18.35,9285500,18.295
2016-06-06,18.280001,18.969999,18.280001,18.9,12841300,18.9
2016-06-07,18.84,19.245001,18.77,19.16,14286200,19.16
2016-06-08,19.27,19.620001,19.200001,19.35,15820700,19.35
2016-06-09,19.389999,19.65,19.33,19.549999,9375400,19.549999
2016-06-10,19.309999,19.33,18.9,19.120001,9830700,19.120001
2016-06-13,19.01,19.15,18.58,18.6,10147200,18.6
2016-06-14,18.469999,18.639999,18.215,18.309999,14356100,18.309999
2016-06-15,18.43,19.059999,18.41,18.799999,11967600,18.799999
2016-06-16,18.68,18.83,18.575001,18.66,12329300,18.66
2016-06-17,18.59,19.01,18.49,18.940001,16641100,18.940001
2016-06-20,19.219999,19.610001,19.16,19.379999,15869500,19.379999
2016-06-21,19.41,19.85,19.26,19.76,11557700,19.76
2016-06-22,19.66,19.76,19.190001,19.209999,10573300,19.209999
2016-06-23,19.370001,19.690001,19.34,19.65,10184400,19.65
2016-06-24,18.610001,19.08,18.110001,18.16,25420700,18.16
2016-06-27,18.0,18.01,16.965,17.200001,18240300,17.200001
2016-06-28,17.5,17.58,17.105,17.4,13635800,17.4
2016-06-29,17.74,17.91,17.605,17.780001,8259900,17.780001
2016-06-30,17.92,18.5,17.879999,18.27,12492700,18.27
2016-07-01,18.469999,18.639999,18.15,18.49,8928500,18.49
2016-07-05,18.389999,18.43,17.940001,18.200001,6134800,18.200001
2016-07-06,18.0,18.43,17.92,18.4,7264500,18.4
2016-07-07,18.34,18.709999,18.34,18.469999,6277000,18.469999
2016-07-08,18.76,19.040001,18.575001,19.040001,10898500,19.040001
2016-07-11,19.15,19.465,19.139999,19.34,10161700,19.34
2016-07-12,19.43,19.9,19.43,19.690001,12949500,19.690001
2016-07-13,19.690001,19.76,19.299999,19.5,6867600,19.5
2016-07-14,19.620001,20.166,19.620001,19.99,14920200,19.99
2016-07-15,20.08,20.17,19.690001,19.77,8745500,19.77
2016-07-18,19.719999,19.98,19.65,19.790001,5880900,19.790001
2016-07-19,19.690001,19.940001,19.68,19.790001,5534700,19.790001
2016-07-20,19.799999,20.08,19.725,20.059999,5314000,20.059999
2016-07-21,20.030001,20.16,19.705,19.75,9055400,19.75
2016-07-22,19.82,20.049999,19.74,20.049999,8366500,20.049999
2016-07-25,20.35,20.49,20.190001,20.209999,9714900,20.209999
2016-07-26,20.190001,20.459999,20.145,20.450001,7947600,20.450001
2016-07-27,20.5,20.665001,20.257999,20.35,6553300,20.35
2016-07-28,20.299999,20.43,20.15,20.309999,4357500,20.309999
2016-07-29,20.32,21.9,20.1,21.02,31347300,21.02
