Date,Open,High,Low,Close,Volume,Adj Close
1985-03-27,40.12512,42.125041,39.875041,42.125041,28440000,0.800412
1985-03-28,41.874959,42.0,40.750079,41.500079,3876000,0.788537
1985-03-29,41.500079,42.499921,41.500079,42.499921,2803200,0.807535
1985-04-01,42.499921,42.499921,42.0,42.0,3578400,0.798036
1985-04-02,42.0,42.0,41.62512,41.62512,597600,0.790913
1985-04-03,41.62512,41.874959,41.500079,41.874959,1780800,0.79566
1985-04-04,42.0,42.0,41.874959,41.874959,204000,0.79566
1985-04-08,42.0,42.0,41.874959,41.874959,597600,0.79566
1985-04-09,41.874959,42.0,41.874959,41.874959,117600,0.79566
1985-04-10,41.874959,41.874959,40.999921,40.999921,1490400,0.779033
1985-04-11,40.750079,40.750079,39.75,39.875041,494400,0.75766
1985-04-12,39.875041,39.875041,39.75,39.875041,600000,0.75766
1985-04-15,39.75,39.75,39.624959,39.624959,2354400,0.752908
1985-04-16,39.75,40.5,39.499921,40.249921,381600,0.764783
1985-04-17,40.000079,40.12512,40.000079,40.000079,247200,0.760036
1985-04-18,40.12512,40.374959,40.12512,40.249921,268800,0.764783
1985-04-19,40.000079,40.5,39.875041,40.5,326400,0.769535
1985-04-22,40.249921,40.5,40.249921,40.249921,112800,0.764783
1985-04-23,40.249921,40.249921,40.000079,40.000079,160800,0.760036
1985-04-24,39.75,39.75,39.75,39.75,122400,0.755284
1985-04-25,39.875041,40.000079,39.75,39.875041,964800,0.75766
1985-04-26,39.75,39.875041,39.75,39.875041,280800,0.75766
1985-04-29,39.875041,39.875041,39.499921,39.624959,292800,0.752908
1985-04-30,39.499921,39.624959,39.37488,39.624959,304800,0.752908
1985-05-01,39.624959,39.624959,39.499921,39.624959,940800,0.752908
1985-05-02,39.624959,39.624959,39.499921,39.624959,693600,0.752908
1985-05-03,39.624959,39.624959,39.37488,39.499921,434400,0.750532
1985-05-06,39.499921,39.499921,39.499921,39.499921,1368000,0.750532
1985-05-07,39.250079,39.499921,39.125041,39.125041,1831200,0.743409
1985-05-08,39.0,39.0,38.874959,38.874959,530400,0.738657
1985-05-09,39.0,40.12512,39.0,40.000079,1706400,0.760036
1985-05-10,40.000079,40.374959,39.75,40.249921,1492800,0.764783
1985-05-13,40.374959,41.375041,40.374959,41.375041,1668000,0.786161
1985-05-14,41.500079,41.62512,40.999921,40.999921,612000,0.779033
1985-05-15,40.999921,41.375041,40.750079,41.375041,736800,0.786161
1985-05-16,41.25,41.375041,40.999921,41.124959,453600,0.781409
1985-05-17,41.124959,41.500079,40.999921,41.500079,460800,0.788537
1985-05-20,41.749921,42.0,41.375041,42.0,4576800,0.798036
1985-05-21,42.0,42.624959,42.0,42.499921,1699200,0.807535
1985-05-22,42.250079,42.37488,41.874959,42.0,710400,0.798036
1985-05-23,42.0,42.0,41.500079,41.500079,2786400,0.788537
1985-05-24,41.500079,41.749921,41.25,41.375041,463200,0.786161
1985-05-28,41.500079,41.500079,40.999921,40.999921,153600,0.779033
1985-05-29,40.999921,40.999921,40.750079,40.999921,213600,0.779033
1985-05-30,40.750079,40.87488,40.750079,40.87488,331200,0.776658
1985-05-31,40.87488,40.999921,40.750079,40.999921,1581600,0.779033
1985-06-03,40.87488,41.25,40.87488,40.999921,1747200,0.779033
1985-06-04,40.999921,40.999921,40.750079,40.87488,1524000,0.776658
1985-06-05,40.999921,41.25,40.750079,40.999921,2152800,0.779033
1985-06-06,40.999921,41.124959,40.999921,41.124959,1344000,0.781409
1985-06-07,40.999921,41.124959,40.999921,41.124959,5376000,0.781409
1985-06-10,40.625041,41.124959,40.625041,40.625041,1641600,0.780741
1985-06-11,41.124959,41.25,40.87488,41.25,588000,0.792751
1985-06-12,41.25,41.375041,40.999921,40.999921,700800,0.787945
1985-06-13,40.999921,40.999921,40.87488,40.999921,2512800,0.787945
1985-06-14,40.999921,41.124959,40.999921,40.999921,991200,0.787945
1985-06-17,40.999921,40.999921,40.87488,40.87488,180000,0.785542
1985-06-18,40.87488,40.87488,40.625041,40.750079,252000,0.783144
