Date,Open,High,Low,Close,Volume,Adj Close
1972-06-01,42.312481,42.37488,42.250079,42.250079,249600,0.180467
1972-06-02,42.37488,42.74976,42.37488,42.37488,172800,0.181
1972-06-05,42.37488,42.999839,42.250079,42.999839,302400,0.18367
1972-06-06,42.999839,43.750079,42.875041,42.999839,196800,0.18367
1972-06-07,42.999839,42.999839,42.624959,42.624959,48000,0.182068
1972-06-08,42.624959,42.999839,42.500161,42.74976,144000,0.182601
1972-06-09,42.74976,42.999839,42.500161,42.74976,43200,0.182601
1972-06-12,42.999839,43.249921,42.999839,43.249921,24000,0.184738
1972-06-13,43.12512,43.12512,42.500161,42.500161,76800,0.181535
1972-06-14,42.500161,42.74976,42.500161,42.500161,244800,0.181535
1972-06-15,42.74976,42.875041,42.74976,42.875041,206400,0.183136
1972-06-16,42.875041,43.249921,42.875041,43.249921,48000,0.184738
1972-06-19,42.999839,42.999839,42.875041,42.875041,91200,0.183136
1972-06-20,42.875041,42.999839,42.875041,42.999839,14400,0.18367
1972-06-21,42.999839,42.999839,42.875041,42.875041,48000,0.183136
1972-06-22,42.875041,43.249921,42.74976,43.249921,86400,0.184738
1972-06-23,43.5,43.87488,43.5,43.87488,96000,0.187407
1972-06-26,43.87488,44.000161,43.5,44.000161,62400,0.187942
1972-06-27,44.25024,44.499839,44.25024,44.25024,67200,0.18901
1972-06-28,44.62512,45.500161,44.62512,45.500161,144000,0.194349
1972-06-29,45.37488,45.37488,45.37488,45.37488,28800,0.193814
1972-06-30,45.500161,45.999839,45.500161,45.999839,72000,0.196484
1972-07-03,45.999839,46.750079,45.999839,46.750079,57600,0.199688
1972-07-05,46.750079,46.750079,46.249921,46.249921,211200,0.197552
1972-07-06,46.5,48.500158,46.5,48.500158,254400,0.207164
1972-07-07,48.500158,49.249918,48.500158,48.74976,412800,0.20823
1972-07-10,48.74976,48.999842,48.500158,48.999842,0,0.209298
1972-07-11,48.999842,49.12512,48.74976,48.999842,2904000,0.209298
1972-07-12,48.999842,49.249918,48.999842,48.999842,259200,0.209298
1972-07-13,48.999842,49.5,48.999842,49.5,225600,0.211434
1972-07-14,49.5,49.5,49.12512,49.5,172800,0.211434
1972-07-17,49.5,49.624798,49.249918,49.624798,62400,0.211967
1972-07-18,49.624798,50.000158,49.375202,49.750082,220800,0.212503
1972-07-19,49.750082,50.000158,49.5,50.000158,24000,0.213571
1972-07-20,50.000158,50.000158,49.624798,49.87488,76800,0.213036
1972-07-21,49.87488,50.25024,49.87488,50.25024,5700,0.214639
1972-07-24,50.25024,50.25024,50.000158,50.124962,225600,0.214104
1972-07-25,50.124962,50.749918,50.124962,50.62512,278400,0.21624
1972-07-26,50.749918,50.875202,50.749918,50.875202,86400,0.217308
1972-07-27,50.875202,50.875202,50.000158,50.000158,518400,0.213571
1972-07-28,50.25024,50.499842,50.25024,50.375038,67200,0.215172
1972-07-31,50.375038,50.375038,50.124962,50.375038,86400,0.216785
1972-08-01,50.375038,51.250082,50.124962,51.0,264000,0.219475
1972-08-02,51.0,51.74976,50.749918,51.500158,211200,0.221627
1972-08-03,51.500158,51.74976,51.0,51.74976,264000,0.222701
1972-08-04,51.999842,52.5,51.999842,52.249918,681600,0.224854
1972-08-07,52.750082,53.000158,52.750082,52.87488,206400,0.227543
1972-08-08,52.87488,52.87488,52.750082,52.750082,547200,0.227006
1972-08-09,52.750082,53.000158,52.5,52.5,244800,0.22593
1972-08-10,52.750082,53.000158,52.750082,53.000158,153600,0.228082
1972-08-11,53.000158,53.000158,52.87488,53.000158,86400,0.228082
